Date,portfolio_nav,SPY_nav,QQQ_nav,NVDA_value,TSM_value,AMD_value,AVGO_value,MSFT_value,GOOGL_value,AMZN_value,META_value,ANET_value,PLTR_value
2022-01-03,1000000.0000,1000000.0000,1000000.0000,250000.0000,100000.0000,80000.0000,70000.0000,150000.0000,120000.0000,60000.0000,80000.0000,50000.0000,40000.0000
2022-01-04,987789.6698,999664.9899,987029.3393,243102.8232,103571.4211,76900.9547,70802.0127,147427.9060,119510.0184,58985.0648,79525.0253,48741.5630,39222.8805
2022-01-05,941797.5318,980469.1862,956706.6569,229109.2618,98649.0589,72497.3317,67855.6249,141768.4361,114027.3335,57870.6545,76604.2401,46804.6923,36610.8979
2022-01-06,946853.0189,979548.3316,956034.4976,233873.3703,99743.7812,72539.9312,67225.6111,140648.2395,114004.6049,57482.2856,78563.2362,46635.9649,36135.9938
2022-01-07,928680.2393,975675.5682,945677.9716,226146.1871,95885.0805,70287.5374,65338.7445,140719.9003,113400.0002,57235.8143,78404.9210,45514.6199,35747.4341
2022-01-10,932144.8274,974461.6898,946300.4366,227416.1057,97057.4391,70287.5374,65550.8569,140822.9624,114767.6473,56859.7650,77525.8508,46238.7473,35617.9156
2022-01-11,947229.8197,983337.1900,960515.7153,230877.1526,100287.2606,73115.0120,65644.7802,141141.1345,115650.3552,58224.5202,79014.5748,46815.2375,36459.7923
2022-01-12,953343.1624,985995.6685,964324.6957,232387.6961,102663.0386,73200.2110,65639.5020,142615.3621,117052.7636,58169.9446,78752.2812,46769.5437,36092.8196
2022-01-13,928210.7547,972410.1166,940201.0752,220568.6992,108066.7519,70681.5765,63021.3166,136579.5027,114699.3980,56763.9971,77150.1084,46119.2322,34560.1719
2022-01-14,938768.1302,972807.6999,946051.5754,223614.7348,109208.0496,72886.0489,62934.7750,138999.2182,115438.8843,57089.3392,78430.8901,45606.0182,34560.1719
2022-01-18,906420.2399,955579.4968,922500.3357,214991.2113,103905.2570,70250.2598,60974.0353,135616.1138,112556.6630,55955.3886,75181.6565,44674.4908,32315.1640
2022-01-19,891367.5042,945657.2507,912367.9407,208052.5540,101715.8379,68301.3842,59515.6003,135920.7999,111827.0831,55033.4059,75521.9375,44048.7882,31430.1131
